"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3051","Should Add And Remove Note From Favorites","NOTE MANAGEMENT","Sun Feb 02 11:18:40 GMT 2025","passed","Sun Feb 02 11:18:43 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","3463","Should Move Note To Trash And Restore It","NOTE MANAGEMENT","Sun Feb 02 11:18:43 GMT 2025","passed","Sun Feb 02 11:18:47 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","3636","Should Paste Note Reference Into Content","NOTE BASIC OPERATIONS","Sun Feb 02 11:18:36 GMT 2025","passed","Sun Feb 02 11:18:40 GMT 2025","NOTE BASIC OPERATIONS","Notes","",""
"","1663","Should Toggle Dark Mode From Settings","SETTINGS FUNCTIONALITY","Sun Feb 02 11:18:53 GMT 2025","passed","Sun Feb 02 11:18:54 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","3399","Should Create Category And Move Note Using Drag And Drop","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Sun Feb 02 11:18:28 GMT 2025","passed","Sun Feb 02 11:18:31 GMT 2025","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Navigation","",""
"","2876","Should Create And Validate A New Category With Random Name","CATEGORY FUNCTIONALITY","Sun Feb 02 11:17:39 GMT 2025","passed","Sun Feb 02 11:17:42 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","1546","Should Toggle Dark Mode From Footer","SETTINGS FUNCTIONALITY","Sun Feb 02 11:18:51 GMT 2025","passed","Sun Feb 02 11:18:53 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","2841","Should Move Note Using Drag And Drop To Trash And Delete It Permanently","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Sun Feb 02 11:18:31 GMT 2025","passed","Sun Feb 02 11:18:34 GMT 2025","NAVIGATION AND DRAG-DROP FUNCTIONALITY","Navigation","",""
"","1961","Should Sync Preview Mode State Between Footer And Settings","SETTINGS FUNCTIONALITY","Sun Feb 02 11:18:54 GMT 2025","passed","Sun Feb 02 11:18:56 GMT 2025","SETTINGS FUNCTIONALITY","Settings","",""
"","2683","Should Create And Validate Multiple Predefined Categories","CATEGORY FUNCTIONALITY","Sun Feb 02 11:17:43 GMT 2025","passed","Sun Feb 02 11:17:45 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","6290","Should Create And Validate Plain Text Note","EDITOR BASIC OPERATIONS","Sun Feb 02 11:17:51 GMT 2025","passed","Sun Feb 02 11:17:57 GMT 2025","EDITOR BASIC OPERATIONS","Editor","",""
"","5670","Should Create And Preview Markdown Note","EDITOR MARKDOWN FEATURES","Sun Feb 02 11:18:05 GMT 2025","passed","Sun Feb 02 11:18:11 GMT 2025","EDITOR MARKDOWN FEATURES","Editor","",""
"","3830","Should Create And Persist Notes And Categories In Both Online And Offline Modes","STORAGE FUNCTIONALITY","Sun Feb 02 11:18:56 GMT 2025","passed","Sun Feb 02 11:19:00 GMT 2025","STORAGE FUNCTIONALITY","Storage","",""
"","2526","Should Copy Note Reference To Clipboard","NOTE BASIC OPERATIONS","Sun Feb 02 11:18:34 GMT 2025","passed","Sun Feb 02 11:18:36 GMT 2025","NOTE BASIC OPERATIONS","Notes","",""
"","4416","Should Move Multiple Notes To Trash And Empty It","NOTE MANAGEMENT","Sun Feb 02 11:18:47 GMT 2025","passed","Sun Feb 02 11:18:51 GMT 2025","NOTE MANAGEMENT","Notes","",""
"","1752","Should Delete An Existing Category","CATEGORY FUNCTIONALITY","Sun Feb 02 11:17:49 GMT 2025","passed","Sun Feb 02 11:17:51 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","16726","Should Preview Complex Markdown File","EDITOR MARKDOWN FEATURES","Sun Feb 02 11:18:11 GMT 2025","passed","Sun Feb 02 11:18:28 GMT 2025","EDITOR MARKDOWN FEATURES","Editor","",""
"","3678","Should Move A Note To A Specific Category","CATEGORY FUNCTIONALITY","Sun Feb 02 11:17:45 GMT 2025","passed","Sun Feb 02 11:17:49 GMT 2025","CATEGORY FUNCTIONALITY","Categories","",""
"","8167","Should Search Notes And Validate Results Count","EDITOR BASIC OPERATIONS","Sun Feb 02 11:17:57 GMT 2025","passed","Sun Feb 02 11:18:05 GMT 2025","EDITOR BASIC OPERATIONS","Editor","",""
"","0","Should Navigate To Source Note By Clicking Reference","Chrome","Sun Feb 02 11:18:40 GMT 2025","skipped","Sun Feb 02 11:18:40 GMT 2025","NOTE BASIC OPERATIONS","e2e/test-note-basic-operations.spec.ts","",""
